Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Binary,AttritionRisk_Score,AttritionRisk_Tier
28,No,Travel_Rarely,364,Sales,15,4,Life Sciences,4,Male,72,3,3,Sales Executive,2,Married,7221,15973,1,No,14,3,3,3,2,4,4,0,0,0,0,0,0.1957,Low
47,No,Travel_Frequently,728,Sales,20,2,Other,4,Male,75,3,1,Sales Representative,2,Married,2676,21534,0,No,12,4,3,2,18,3,4,5,5,5,5,0,0.2075,Low
23,Yes,Travel_Rarely,591,Human Resources,29,5,Medical,2,Female,63,3,4,Manager,3,Single,11085,11761,1,Yes,14,3,4,3,40,4,2,40,12,4,17,1,0.6701,High
49,No,Travel_Rarely,751,Research & Development,28,2,Technical Degree,3,Male,85,3,3,Manufacturing Director,3,Divorced,8178,16063,0,No,14,3,3,1,6,3,4,1,1,1,1,0,0.0566,Low
29,No,Travel_Rarely,1104,Sales,2,3,Medical,4,Female,66,3,3,Sales Executive,3,Married,6355,9947,3,Yes,19,4,3,1,14,3,3,2,0,2,2,0,0.3884,Medium
37,No,Travel_Rarely,588,Sales,26,3,Marketing,4,Female,85,3,3,Sales Executive,1,Divorced,8662,24371,0,No,16,3,4,3,16,2,3,6,6,4,1,0,0.0611,Low
45,No,Travel_Rarely,625,Research & Development,8,2,Life Sciences,4,Male,32,4,2,Laboratory Technician,1,Divorced,4537,14840,1,No,11,3,2,0,24,2,3,6,2,6,6,0,0.0567,Low
39,No,Travel_Frequently,468,Sales,22,3,Medical,3,Female,36,4,2,Sales Executive,1,Married,4224,10831,0,No,21,4,4,0,19,1,2,18,17,9,10,0,0.0832,Low
36,No,Travel_Frequently,1039,Research & Development,20,2,Medical,3,Male,96,3,4,Manager,1,Divorced,13277,17563,2,No,19,3,3,0,23,1,2,5,5,5,5,0,0.0973,Low
40,No,Travel_Rarely,1094,Research & Development,7,2,Life Sciences,2,Female,73,2,2,Healthcare Representative,3,Divorced,5950,4653,5,No,12,3,2,0,29,1,4,18,14,11,3,0,0.06,Low
31,No,Travel_Rarely,827,Human Resources,19,3,Marketing,1,Male,53,2,5,Manager,2,Married,19999,11401,2,No,18,3,1,0,7,2,4,0,0,0,0,0,0.1745,Low
45,No,Travel_Rarely,1152,Human Resources,26,4,Life Sciences,4,Male,76,2,1,Human Resources,3,Single,2566,6048,0,No,14,3,3,1,30,3,2,15,15,14,15,0,0.2962,Low
37,No,Travel_Rarely,466,Research & Development,19,4,Life Sciences,3,Female,81,3,4,Manager,3,Single,12849,15768,3,No,19,4,3,3,18,6,4,7,7,7,5,0,0.03,Low
42,Yes,Travel_Rarely,1367,Research & Development,18,3,Medical,2,Female,97,3,3,Research Scientist,4,Single,6813,4672,5,Yes,20,3,2,0,19,4,1,10,10,2,2,1,0.7422,High
28,Yes,Travel_Rarely,974,Research & Development,25,4,Life Sciences,1,Male,73,3,2,Research Scientist,2,Married,3622,23254,0,No,12,3,3,2,2,3,2,1,1,1,1,1,0.5514,Medium
25,No,Travel_Rarely,933,Sales,12,3,Life Sciences,2,Female,91,1,2,Sales Representative,2,Single,3882,8457,2,No,22,3,4,0,11,3,4,4,4,2,4,0,0.158,Low
40,Yes,Travel_Rarely,909,Human Resources,23,3,Human Resources,3,Female,32,2,5,Manager,1,Single,17915,19432,0,Yes,23,3,4,0,14,3,1,0,0,0,0,1,0.5333,Medium
23,Yes,Travel_Rarely,1039,Research & Development,15,3,Medical,4,Male,94,2,2,Research Scientist,3,Single,5165,24359,3,Yes,21,3,1,0,18,3,4,9,9,9,9,1,0.6198,High
43,No,Travel_Frequently,676,Human Resources,27,3,Medical,3,Female,82,4,2,Human Resources,1,Divorced,4278,7602,4,No,15,3,1,1,29,3,3,11,11,11,11,0,0.0763,Low
28,No,Travel_Rarely,1414,Sales,5,4,Life Sciences,4,Male,93,3,3,Sales Executive,1,Married,6205,17722,1,Yes,23,3,4,1,8,2,4,2,2,2,2,0,0.4373,Medium
26,No,Travel_Rarely,159,Research & Development,5,3,Life Sciences,4,Female,85,3,2,Laboratory Technician,4,Single,3762,5823,0,Yes,21,3,2,0,6,6,2,1,1,1,1,0,0.3356,Medium
36,Yes,Travel_Rarely,1131,Sales,9,3,Medical,2,Female,87,3,1,Sales Representative,1,Married,2916,11788,7,No,16,4,3,2,23,3,3,7,7,7,7,1,0.1706,Low
37,No,Travel_Frequently,1216,Research & Development,26,4,Life Sciences,2,Male,74,4,5,Manager,3,Single,17322,15524,1,No,25,3,1,2,3,2,3,3,3,3,2,0,0.0938,Low
38,No,Travel_Rarely,1286,Research & Development,10,4,Medical,4,Male,94,4,1,Research Scientist,3,Married,3010,10263,1,No,25,3,3,2,11,3,4,8,8,8,3,0,0.2266,Low
27,No,Travel_Rarely,850,Sales,4,4,Medical,4,Female,88,3,3,Sales Executive,3,Single,7102,8248,0,Yes,12,3,3,2,1,3,4,0,0,0,0,0,0.3688,Medium
18,No,Travel_Frequently,311,Research & Development,1,3,Life Sciences,3,Male,36,3,2,Research Scientist,3,Single,5275,5265,2,No,22,3,4,3,13,2,4,4,2,4,2,0,0.1379,Low
54,Yes,Travel_Frequently,362,Research & Development,29,4,Medical,3,Male,95,1,3,Manufacturing Director,1,Divorced,8129,4711,2,Yes,17,3,3,0,10,2,4,2,2,2,2,1,0.8029,High
22,No,Travel_Rarely,683,Research & Development,20,3,Life Sciences,4,Female,30,3,2,Research Scientist,2,Single,5796,5591,1,Yes,12,3,4,3,29,5,2,18,6,13,1,0,0.2761,Low
35,No,Travel_Rarely,202,Sales,13,3,Life Sciences,4,Male,47,3,3,Manager,4,Single,6165,11498,4,No,20,3,3,2,18,4,3,1,1,1,1,0,0.1139,Low
18,No,Travel_Rarely,1049,Research & Development,9,3,Medical,3,Female,36,3,2,Manufacturing Director,3,Divorced,4698,9154,0,No,24,3,4,1,20,2,3,4,4,4,4,0,0.0309,Low
35,No,Non-Travel,119,Human Resources,27,3,Technical Degree,2,Female,92,3,4,Manager,3,Divorced,12068,4739,1,No,24,3,1,1,24,4,3,14,11,0,10,0,0.0588,Low
50,Yes,Travel_Rarely,152,Research & Development,25,1,Life Sciences,2,Male,86,3,5,Manager,1,Married,15329,2934,1,Yes,17,3,2,0,14,2,4,6,6,6,6,1,0.671,High
45,No,Non-Travel,869,Research & Development,20,3,Marketing,3,Female,39,3,2,Healthcare Representative,1,Married,4955,4543,3,Yes,22,3,4,1,17,2,2,6,6,5,6,0,0.2327,Low
27,No,Travel_Rarely,370,Sales,15,2,Life Sciences,4,Female,44,4,2,Sales Executive,1,Married,5847,9523,4,No,16,3,3,0,25,0,2,9,9,9,6,0,0.0348,Low
31,No,Travel_Rarely,1138,Sales,13,4,Human Resources,2,Female,95,3,3,Sales Executive,3,Married,7597,5330,2,Yes,19,3,3,1,6,1,3,3,3,3,3,0,0.2797,Low
33,No,Travel_Rarely,414,Sales,28,3,Human Resources,1,Male,82,4,5,Manager,3,Married,19999,2579,6,Yes,24,4,3,2,22,2,3,20,2,13,11,0,0.3361,Medium
26,Yes,Travel_Rarely,1496,Research & Development,18,3,Life Sciences,4,Male,54,3,2,Research Scientist,1,Married,5187,17989,0,Yes,14,3,3,0,21,2,2,4,4,4,4,1,0.4838,Medium
28,No,Travel_Rarely,829,Research & Development,23,2,Life Sciences,4,Male,50,4,1,Laboratory Technician,2,Married,2576,26085,0,No,24,4,1,0,8,3,3,8,8,8,8,0,0.1956,Low
45,No,Non-Travel,880,Research & Development,14,2,Medical,3,Male,96,4,2,Healthcare Representative,4,Single,4571,24971,3,Yes,21,3,4,1,27,3,4,19,5,7,2,0,0.3083,Medium
44,No,Travel_Rarely,1109,Sales,8,1,Life Sciences,3,Male,86,3,1,Sales Representative,2,Divorced,2286,21823,0,No,21,3,4,1,34,0,2,17,5,11,7,0,0.1969,Low
39,No,Travel_Rarely,1327,Research & Development,12,4,Life Sciences,2,Male,47,3,2,Research Scientist,4,Married,4138,8705,2,No,21,4,4,2,21,2,4,7,7,0,7,0,0.0204,Low
34,No,Travel_Rarely,438,Research & Development,28,3,Medical,4,Female,50,3,4,Manager,2,Married,10594,26421,1,No,20,3,1,1,14,2,3,1,1,1,0,0,0.215,Low
29,No,Travel_Frequently,1356,Research & Development,12,3,Life Sciences,3,Male,95,3,1,Laboratory Technician,3,Married,3222,19119,5,No,11,3,3,1,29,3,3,28,18,10,16,0,0.1692,Low
30,Yes,Travel_Frequently,449,Sales,26,3,Medical,2,Male,95,3,3,Sales Executive,2,Single,7578,18013,0,No,18,4,2,0,6,3,2,1,1,1,1,1,0.6203,High
43,No,Travel_Rarely,1076,Human Resources,25,3,Life Sciences,2,Male,80,2,2,Human Resources,3,Single,3654,21302,1,No,20,3,2,0,19,2,1,3,3,3,3,0,0.0933,Low
40,No,Travel_Rarely,658,Research & Development,17,3,Technical Degree,2,Female,91,3,5,Manager,2,Single,16430,6529,1,Yes,18,3,4,2,14,2,4,0,0,0,0,0,0.4636,Medium
43,No,Travel_Rarely,688,Sales,7,3,Marketing,4,Female,53,3,2,Sales Representative,3,Married,4738,11629,6,No,15,3,1,1,10,3,4,6,6,6,6,0,0.0308,Low
38,No,Travel_Rarely,1112,Sales,13,3,Marketing,4,Male,95,3,2,Sales Executive,3,Married,5877,17178,0,No,22,3,4,0,29,2,3,11,8,3,3,0,0.0243,Low
45,Yes,Non-Travel,131,Research & Development,19,3,Life Sciences,4,Female,79,3,2,Research Scientist,3,Divorced,4570,10183,3,Yes,20,3,4,3,16,0,1,0,0,0,0,1,0.769,High
41,No,Travel_Rarely,129,Sales,21,3,Life Sciences,3,Female,43,3,3,Sales Executive,4,Single,9033,3587,3,Yes,23,3,3,3,14,3,3,11,8,6,11,0,0.2457,Low
46,No,Travel_Rarely,1410,Sales,27,4,Life Sciences,4,Male,70,3,3,Sales Executive,2,Single,8133,13640,0,No,21,3,3,1,14,1,4,5,2,0,1,0,0.1105,Low
37,No,Travel_Rarely,1101,Research & Development,21,4,Medical,3,Female,40,3,3,Manufacturing Director,4,Married,6434,13741,3,Yes,17,3,3,1,14,1,3,9,9,6,9,0,0.3216,Medium
34,No,Travel_Frequently,1243,Sales,11,3,Marketing,3,Male,96,3,2,Sales Executive,3,Divorced,5551,26297,3,No,22,3,4,3,7,0,3,2,2,2,2,0,0.0853,Low
29,No,Travel_Rarely,818,Human Resources,13,3,Technical Degree,3,Female,77,3,2,Human Resources,2,Single,3733,17943,7,Yes,23,4,4,1,19,4,3,14,2,0,14,0,0.3258,Medium
30,No,Travel_Frequently,1248,Research & Development,6,4,Life Sciences,3,Female,96,3,2,Manufacturing Director,4,Married,5859,7228,2,Yes,22,3,3,1,10,3,4,3,3,3,3,0,0.4206,Medium
33,No,Travel_Rarely,681,Sales,20,2,Medical,3,Male,61,4,2,Sales Representative,2,Married,3684,3147,0,No,25,4,3,0,9,6,3,5,5,5,4,0,0.0585,Low
35,No,Travel_Rarely,533,Research & Development,9,3,Life Sciences,2,Male,78,3,2,Laboratory Technician,4,Married,3568,24231,2,Yes,20,3,3,2,12,2,2,1,1,1,1,0,0.3912,Medium
26,No,Travel_Rarely,945,Sales,4,3,Life Sciences,2,Male,65,1,2,Sales Executive,3,Married,5099,6436,1,No,22,4,3,0,13,2,3,0,0,0,0,0,0.0772,Low
45,No,Travel_Rarely,1404,Sales,5,3,Medical,3,Female,57,3,4,Manager,3,Married,14364,7258,0,No,24,3,1,1,17,5,4,2,2,2,2,0,0.0722,Low
36,Yes,Travel_Rarely,1455,Sales,23,3,Marketing,3,Male,40,3,2,Sales Executive,1,Married,4969,22028,2,Yes,20,3,4,1,19,5,4,10,1,6,1,1,0.7159,High
38,No,Non-Travel,1437,Research & Development,13,5,Medical,1,Female,72,4,2,Research Scientist,2,Single,3524,17685,2,Yes,14,4,2,1,25,3,4,12,6,11,1,0,0.2791,Low
46,No,Travel_Frequently,578,Sales,27,4,Medical,2,Male,60,2,3,Sales Executive,2,Married,8314,13839,2,Yes,15,3,4,1,25,1,2,8,2,8,5,0,0.3811,Medium
40,No,Non-Travel,1106,Sales,13,2,Marketing,4,Female,88,3,3,Sales Executive,3,Married,7230,16450,6,No,13,4,2,0,8,1,4,0,0,0,0,0,0.1026,Low
34,Yes,Travel_Rarely,631,Sales,19,3,Technical Degree,4,Male,40,4,3,Sales Executive,2,Divorced,6480,12368,1,Yes,13,3,3,2,15,2,4,9,0,5,9,1,0.6073,High
37,No,Travel_Frequently,764,Sales,4,3,Medical,2,Male,75,4,2,Sales Executive,4,Single,4858,17232,1,No,16,3,3,1,24,2,4,10,10,2,10,0,0.0356,Low
34,No,Non-Travel,300,Research & Development,22,4,Life Sciences,3,Female,33,2,4,Manager,4,Married,13036,23133,3,No,23,3,2,0,20,2,4,14,2,11,14,0,0.0957,Low
49,No,Non-Travel,181,Sales,8,3,Life Sciences,3,Male,36,3,2,Sales Representative,2,Married,4171,12449,6,No,15,3,4,2,18,3,4,9,9,9,9,0,0.0838,Low
25,No,Travel_Rarely,973,Sales,11,3,Medical,4,Male,87,3,2,Sales Executive,4,Married,5615,10024,2,No,25,4,3,0,31,4,3,17,1,5,15,0,0.0376,Low
18,No,Travel_Rarely,192,Sales,25,4,Marketing,4,Male,39,2,3,Sales Executive,4,Single,8380,9731,1,No,13,4,4,1,8,3,2,6,4,6,6,0,0.0875,Low
43,No,Travel_Rarely,1469,Sales,8,3,Life Sciences,4,Female,73,4,3,Sales Executive,4,Married,6778,16402,3,No,14,3,2,0,16,2,2,2,2,2,2,0,0.0738,Low
37,No,Travel_Rarely,929,Research & Development,20,4,Life Sciences,4,Male,31,3,3,Research Scientist,2,Single,7257,14259,3,No,22,3,3,0,5,3,3,1,1,1,1,0,0.2955,Low
39,No,Travel_Rarely,984,Research & Development,29,4,Medical,1,Male,79,1,2,Research Scientist,1,Married,3718,18037,1,No,20,3,2,0,21,3,2,12,6,7,12,0,0.1006,Low
58,Yes,Travel_Frequently,1466,Research & Development,12,3,Technical Degree,3,Male,37,1,2,Research Scientist,2,Married,4427,17390,0,Yes,12,3,2,3,18,2,3,4,4,4,4,1,0.7132,High
34,No,Travel_Rarely,1298,Research & Development,27,2,Medical,1,Female,31,2,3,Manufacturing Director,3,Married,8557,26895,0,No,16,3,3,0,9,2,3,9,1,3,9,0,0.066,Low
54,No,Travel_Rarely,1348,Research & Development,28,3,Technical Degree,3,Male,89,4,4,Manufacturing Director,4,Divorced,11108,22386,6,No,23,3,2,0,37,3,3,22,16,11,11,0,0.0764,Low
43,No,Travel_Frequently,1488,Research & Development,19,1,Technical Degree,3,Female,94,2,1,Laboratory Technician,4,Married,2935,17879,0,No,20,3,3,0,4,3,4,3,3,3,3,0,0.3845,Medium
39,No,Travel_Rarely,325,Sales,2,3,Marketing,2,Male,77,3,3,Sales Executive,1,Married,7554,9280,3,Yes,14,3,3,1,11,0,2,4,2,3,4,0,0.4079,Medium
43,No,Travel_Rarely,1474,Research & Development,28,2,Medical,2,Male,76,3,2,Healthcare Representative,3,Married,5810,2859,4,Yes,24,4,1,1,28,4,3,9,9,6,9,0,0.3,Low
28,Yes,Travel_Rarely,493,Research & Development,18,4,Life Sciences,2,Male,56,4,1,Laboratory Technician,2,Divorced,2679,8985,2,No,24,3,3,0,4,4,3,0,0,0,0,1,0.6758,High
38,Yes,Travel_Frequently,323,Research & Development,24,2,Life Sciences,4,Male,80,4,5,Manager,2,Single,18544,22159,3,No,20,3,3,0,16,2,4,2,2,2,2,1,0.5467,Medium
36,No,Travel_Rarely,1472,Sales,25,3,Life Sciences,4,Female,80,4,2,Sales Representative,3,Married,4922,4049,2,Yes,16,4,4,0,10,2,3,4,2,4,4,0,0.3325,Medium
33,No,Non-Travel,682,Research & Development,7,1,Technical Degree,4,Male,73,3,5,Manager,2,Divorced,19999,17165,0,No,18,4,3,0,13,2,2,11,1,7,11,0,0.0649,Low
37,No,Travel_Rarely,841,Human Resources,7,4,Medical,4,Male,54,3,4,Manager,3,Married,14796,22403,1,Yes,17,3,3,0,8,4,3,2,2,2,2,0,0.3898,Medium
40,No,Travel_Rarely,1044,Sales,26,4,Medical,3,Male,72,2,3,Sales Executive,1,Married,6920,5720,8,No,13,3,2,1,10,3,2,7,6,7,7,0,0.0869,Low
36,No,Travel_Rarely,623,Research & Development,10,2,Marketing,4,Male,77,3,2,Research Scientist,4,Single,3671,17448,0,No,24,3,2,0,20,4,1,9,0,9,9,0,0.0619,Low
46,No,Travel_Rarely,940,Sales,14,2,Medical,3,Female,35,3,5,Manager,4,Single,19999,26971,3,Yes,19,3,1,1,40,4,2,23,2,11,7,0,0.2592,Low
22,No,Travel_Rarely,649,Research & Development,21,3,Marketing,4,Female,82,3,2,Research Scientist,4,Married,5625,9834,5,Yes,13,3,4,1,12,2,2,5,5,0,5,0,0.396,Medium
35,No,Travel_Frequently,1272,Sales,15,3,Human Resources,4,Male,58,4,3,Sales Executive,1,Single,6613,12038,0,No,11,3,4,3,9,2,3,3,3,3,3,0,0.0763,Low
26,No,Travel_Rarely,922,Research & Development,5,3,Medical,2,Female,84,4,2,Laboratory Technician,4,Divorced,3625,13580,6,No,15,3,4,2,4,2,3,0,0,0,0,0,0.0864,Low
51,No,Travel_Frequently,1029,Research & Development,3,3,Technical Degree,4,Female,38,4,2,Research Scientist,4,Single,5202,5349,8,No,16,3,3,1,15,5,4,1,1,1,1,0,0.1225,Low
26,No,Travel_Frequently,499,Research & Development,13,3,Life Sciences,4,Female,62,3,3,Research Scientist,4,Single,6034,12896,1,Yes,18,3,3,0,8,2,3,0,0,0,0,0,0.5764,Medium
24,No,Non-Travel,299,Research & Development,17,4,Medical,2,Male,44,3,3,Manufacturing Director,4,Single,7536,21106,3,No,21,3,3,2,10,2,3,6,6,0,3,0,0.037,Low
26,Yes,Travel_Frequently,1043,Research & Development,14,4,Life Sciences,4,Male,58,3,4,Research Director,4,Married,13796,8866,1,Yes,13,3,4,1,17,5,3,14,1,3,14,1,0.3184,Medium
18,No,Travel_Rarely,1298,Sales,3,3,Medical,3,Female,99,3,2,Sales Executive,4,Married,5035,25031,2,Yes,13,3,4,0,40,5,3,40,13,11,14,0,0.2619,Low
41,No,Travel_Rarely,691,Research & Development,2,4,Medical,4,Male,75,3,2,Research Scientist,2,Divorced,4861,2619,0,No,21,4,4,0,5,1,4,0,0,0,0,0,0.3138,Medium
28,No,Travel_Rarely,932,Sales,16,3,Medical,3,Female,75,3,2,Sales Executive,2,Married,5228,23858,1,Yes,21,3,2,1,20,2,3,10,3,6,8,0,0.2715,Low
41,No,Travel_Rarely,1367,Research & Development,3,4,Medical,1,Female,49,3,2,Research Scientist,1,Single,5237,11273,1,No,13,4,3,1,21,4,4,3,3,0,3,0,0.1149,Low
43,No,Travel_Rarely,795,Research & Development,29,3,Life Sciences,2,Male,75,3,2,Healthcare Representative,1,Divorced,4087,26462,3,No,11,3,4,0,1,3,1,0,0,0,0,0,0.2956,Low
26,No,Travel_Rarely,1406,Research & Development,7,3,Life Sciences,1,Female,61,3,3,Manufacturing Director,1,Single,8960,7640,1,No,20,3,3,1,9,1,4,2,1,2,2,0,0.0856,Low
34,No,Travel_Rarely,775,Sales,26,3,Life Sciences,3,Male,43,3,2,Sales Representative,3,Married,4153,22369,1,No,13,3,4,0,18,4,3,3,3,1,3,0,0.1259,Low
35,No,Travel_Rarely,1052,Research & Development,12,3,Medical,4,Female,36,3,5,Manager,3,Married,15626,9069,3,No,13,3,3,0,14,4,3,14,12,10,6,0,0.0323,Low
38,No,Travel_Rarely,1375,Research & Development,5,3,Life Sciences,2,Male,90,4,2,Healthcare Representative,4,Married,4353,25187,2,No,22,4,3,1,6,3,4,5,5,0,5,0,0.0224,Low
43,No,Non-Travel,402,Research & Development,25,2,Other,4,Female,83,3,2,Healthcare Representative,1,Single,5974,12151,2,Yes,14,4,4,2,7,0,3,6,6,2,6,0,0.3515,Medium
37,No,Travel_Frequently,178,Research & Development,22,3,Life Sciences,2,Male,32,3,3,Manufacturing Director,2,Married,8936,19910,1,No,22,3,3,1,12,1,4,3,3,3,2,0,0.1136,Low
49,No,Travel_Rarely,435,Research & Development,26,3,Life Sciences,4,Female,67,3,3,Manufacturing Director,3,Single,7117,19162,0,No,11,3,4,1,24,2,3,6,6,6,5,0,0.0418,Low
29,No,Travel_Frequently,692,Sales,14,2,Medical,1,Female,31,2,2,Sales Executive,3,Married,4748,24693,9,Yes,22,3,4,0,11,4,4,8,0,0,8,0,0.2989,Low
48,No,Travel_Rarely,167,Research & Development,11,3,Medical,1,Male,31,2,3,Manufacturing Director,1,Married,6911,16551,4,No,19,3,2,1,25,2,2,8,0,8,8,0,0.1076,Low
55,No,Non-Travel,1068,Research & Development,6,1,Life Sciences,4,Female,52,4,4,Research Director,4,Married,14635,4132,5,No,18,3,4,0,18,5,1,2,2,2,2,0,0.1257,Low
60,No,Travel_Rarely,1388,Research & Development,9,3,Life Sciences,2,Male,78,4,3,Manufacturing Director,4,Single,6086,18645,1,No,11,3,3,1,28,0,4,13,6,10,3,0,0.0566,Low
19,No,Travel_Rarely,330,Sales,14,3,Medical,4,Male,72,3,5,Manager,4,Married,18660,17584,1,No,15,3,2,3,12,4,3,2,2,2,2,0,0.044,Low
28,No,Travel_Rarely,800,Research & Development,21,3,Technical Degree,4,Male,40,4,5,Research Director,3,Married,19999,21441,4,No,12,3,3,0,15,3,3,7,7,7,2,0,0.0533,Low
34,Yes,Travel_Rarely,809,Research & Development,15,2,Life Sciences,4,Male,51,1,2,Research Scientist,2,Single,4842,15491,1,Yes,20,3,4,0,6,2,4,2,2,2,2,1,0.8425,High
42,No,Travel_Frequently,361,Sales,11,3,Life Sciences,4,Male,83,3,1,Sales Representative,4,Married,2638,17538,4,No,17,3,4,0,6,3,4,0,0,0,0,0,0.4903,Medium
